# MCTS: [1000] [0.3]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.075)]
GAME,PLAYERS,WINNER,TIME
0,brrm,2,2644.6090309619904
1,brrm,2,2755.1897979974747
2,brrm,3,2746.8449499607086
3,brrm,1,2620.6697170734406
4,brrm,3,2633.909085035324
5,brrm,3,2726.3891240358353
6,brrm,1,2480.706158041954
7,brrm,3,2600.2738820314407
8,brrm,0,2549.300994992256
9,brrm,2,2751.7246049642563
10,brrm,2,2533.4061019420624
11,brrm,3,2604.597746014595
12,brrm,1,2535.165880084038
13,brrm,2,2659.7024260759354
14,brrm,3,2554.596706032753
15,brrm,3,2555.2294610738754
16,brrm,1,2499.2389500141144
17,brrm,0,2669.9525039196014
18,brrm,3,2645.325658917427
19,brrm,1,2739.1631560325623
