# MCTS: [1000] [0.8]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.2)]
GAME,PLAYERS,WINNER,TIME
# MCTS: [1000] [0.8]
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.mcts(1000, 0.2)]
GAME,PLAYERS,WINNER,TIME
0,brrm,3,2770.889117002487
1,brrm,2,2702.727147936821
2,brrm,0,2820.0551710128784
3,brrm,3,2790.554885029793
4,brrm,1,2663.881707906723
5,brrm,0,2764.9260540008545
6,brrm,1,2806.326295018196
7,brrm,3,2770.554324030876
8,brrm,3,2636.233829975128
9,brrm,3,2809.9674830436707
10,brrm,2,2682.453465938568
11,brrm,3,2591.158318042755
12,brrm,3,2781.250720024109
13,brrm,3,2691.5952500104904
14,brrm,3,2741.1878900527954
15,brrm,3,2829.7640969753265
16,brrm,3,2707.642678976059
17,brrm,3,2737.230568051338
18,brrm,0,2857.3387999534607
19,brrm,1,1327.8453038930893
