# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,WINNER,TIME,big,big,big
0,0,0.27854394912719727,53,28,42
1,1,0.1383119821548462,36,52,42
2,2,0.28868889808654785,43,28,59
3,2,0.10116100311279297,36,35,59
4,1,0.10304200649261475,42,53,35
5,2,0.09144294261932373,36,35,59
6,1,0.08706700801849365,35,59,36
7,0,0.1264350414276123,59,36,35
8,2,0.13422298431396484,43,28,59
9,0,0.21684694290161133,59,43,52
10,2,0.14579403400421143,28,42,53
11,0,0.24798500537872314,59,36,35
12,0,0.11635708808898926,59,43,35
13,0,0.08713507652282715,59,43,28
14,1,0.08692800998687744,42,53,35
15,0,0.14654600620269775,59,36,28
16,0,0.07590997219085693,59,36,28
17,2,0.08896803855895996,36,35,59
18,2,0.19788992404937744,43,35,59
19,2,0.16438496112823486,42,28,53
20,1,0.10434997081756592,35,59,36
21,0,0.1332240104675293,59,43,28
22,1,0.1588449478149414,42,53,28
23,0,0.11113893985748291,59,43,28
24,0,0.11329805850982666,59,35,36
25,0,0.07277095317840576,53,35,42
26,0,0.22220897674560547,53,35,42
27,2,0.15471196174621582,36,35,59
28,1,0.29799890518188477,52,59,43
29,2,0.10274207592010498,43,28,59
30,0,0.10486996173858643,59,43,35
31,2,0.15106594562530518,36,35,59
32,0,0.1058650016784668,59,43,28
33,2,0.19246399402618408,42,43,52
34,2,0.10497403144836426,35,42,53
35,0,0.09231197834014893,59,36,28
36,1,0.12815403938293457,42,53,35
37,2,0.10692095756530762,43,21,59
38,1,0.1950819492340088,42,53,35
39,2,0.09632599353790283,28,42,53
40,0,0.11743390560150146,59,43,28
41,1,0.11101996898651123,42,53,35
42,0,0.08482801914215088,59,36,35
43,0,0.0629950761795044,59,36,21
44,0,0.0745689868927002,59,36,35
45,0,0.08378398418426514,59,36,28
46,1,0.1697840690612793,42,53,35
47,2,0.07950794696807861,35,42,53
48,0,0.10633504390716553,59,43,35
49,2,0.1400700807571411,43,28,59
50,0,0.08789491653442383,53,35,42
51,1,0.10241103172302246,28,59,43
52,0,0.07942497730255127,59,43,28
53,0,0.1364680528640747,59,36,35
54,0,0.1647700071334839,53,35,42
55,0,0.11699795722961426,59,36,35
56,1,0.09787404537200928,35,59,36
57,2,0.22339403629302979,43,52,59
58,0,0.07978498935699463,59,36,35
59,0,0.06489706039428711,59,36,35
60,2,0.1413329839706421,43,28,59
61,1,0.09828996658325195,42,53,28
62,1,0.13840007781982422,28,59,43
63,1,0.131261944770813,36,59,35
64,0,0.1036449670791626,59,43,28
65,1,0.2581210136413574,52,59,43
66,1,0.15378296375274658,42,53,28
67,0,0.11339294910430908,59,43,28
68,1,0.08445000648498535,35,59,36
69,2,0.10895395278930664,43,28,59
70,0,0.14986705780029297,59,36,35
71,2,0.12191200256347656,36,35,59
72,0,0.13442599773406982,52,42,36
73,0,0.10705304145812988,53,28,42
74,0,0.1426830291748047,59,43,28
75,1,0.1255509853363037,28,59,43
76,2,0.08431005477905273,36,35,59
77,2,0.1006309986114502,43,35,59
78,2,0.09780693054199219,36,28,59
79,0,0.09163498878479004,53,21,42
80,0,0.20370900630950928,59,36,28
81,1,0.11514401435852051,35,59,36
82,2,0.1158679723739624,43,28,59
83,0,0.09834003448486328,59,36,35
84,2,0.10213601589202881,43,28,59
85,2,0.08094203472137451,35,42,53
86,1,0.07720303535461426,42,53,28
87,0,0.11686098575592041,59,29,28
88,0,0.1302889585494995,53,35,42
89,2,0.10664594173431396,36,35,59
90,0,0.09668898582458496,59,36,28
91,1,0.08760702610015869,42,53,35
92,2,0.09728991985321045,35,42,53
93,0,0.08732402324676514,59,43,28
94,0,0.11130404472351074,53,35,42
95,2,0.08312296867370605,36,35,59
96,1,0.10493898391723633,28,59,43
97,1,0.12069296836853027,35,59,36
98,2,0.1407020092010498,36,35,59
99,2,0.07678806781768799,36,35,59
100,1,0.08304703235626221,28,59,43
101,1,0.09929096698760986,28,59,43
102,2,0.09837591648101807,35,42,53
103,2,0.09583306312561035,36,35,59
104,0,0.11571705341339111,59,43,28
105,0,0.09886205196380615,53,28,42
106,2,0.10433197021484375,36,28,59
107,0,0.09093105792999268,53,42,28
108,0,0.09264302253723145,53,35,42
109,2,0.17293405532836914,28,42,53
110,0,0.14203810691833496,59,36,28
111,0,0.1210319995880127,52,42,43
112,1,0.14312005043029785,42,53,35
113,2,0.09075593948364258,36,35,59
114,0,0.11817097663879395,59,36,21
115,2,0.0911639928817749,43,28,59
116,1,0.3143841028213501,52,59,43
117,2,0.1077960729598999,36,35,59
118,2,0.0812920331954956,36,35,59
119,2,0.15768897533416748,35,42,53
