GAME,WINNER,TIME,big,big,big,big
0,3,0.4078890085220337,35,42,46,57
1,2,0.15850400924682617,35,35,59,36
2,0,0.26183390617370605,53,35,28,35
3,1,0.14647209644317627,28,59,36,28
4,0,0.16986298561096191,59,43,35,35
5,2,0.1439269781112671,35,42,53,35
6,2,0.34193897247314453,35,35,59,36
7,1,0.12202107906341553,42,53,35,21
8,1,0.14871108531951904,42,53,28,28
9,3,0.3645840883255005,42,42,43,57
10,2,0.12081396579742432,21,42,53,35
11,0,0.1654369831085205,59,36,28,52
12,2,0.15099596977233887,28,52,59,36
13,0,0.4267679452896118,59,43,52,28
14,1,0.23666298389434814,28,52,42,43
15,0,0.30699896812438965,57,49,35,39
16,3,0.13774991035461426,28,35,35,53
17,0,0.28223109245300293,59,36,28,28
18,2,0.26257598400115967,28,28,59,36
19,0,0.18462896347045898,59,36,21,35
20,0,0.15069496631622314,59,43,35,28
21,2,0.349573016166687,42,46,57,39
22,2,0.12091588973999023,35,28,59,43
23,0,0.1193779706954956,59,43,28,35
24,0,0.343519926071167,52,35,42,36
25,3,0.14290106296539307,43,35,35,59
26,1,0.26040899753570557,28,59,43,35
27,1,0.12181997299194336,28,59,36,28
28,3,0.35028600692749023,36,52,35,59
29,2,0.11630606651306152,14,28,59,36
30,0,0.4255110025405884,59,35,35,43
31,2,0.12754905223846436,28,35,59,36
32,3,0.14542293548583984,43,28,35,59
33,3,0.2665529251098633,29,35,52,59
34,1,0.12973594665527344,35,53,21,42
35,2,0.229577898979187,35,35,53,42
36,3,0.12048304080963135,36,28,28,59
37,1,0.15789198875427246,43,52,28,42
38,1,0.3425629138946533,43,52,39,42
39,2,0.1548449993133545,35,42,53,21
40,2,0.11611592769622803,28,28,59,29
41,1,0.16820406913757324,52,59,43,32
42,1,0.12532508373260498,28,59,43,35
43,1,0.18798506259918213,35,59,36,28
44,1,0.13607299327850342,35,53,28,35
45,0,0.2812119722366333,53,28,28,42
46,2,0.16976404190063477,42,43,52,28
47,2,0.13075006008148193,35,42,53,35
48,0,0.1440269947052002,53,35,42,35
49,3,0.2597689628601074,43,35,35,59
50,0,0.15752696990966797,59,36,28,28
51,3,0.1477450132369995,43,35,28,59
52,0,0.3357459306716919,57,39,39,49
53,1,0.1571180820465088,42,53,35,21
54,3,0.19948995113372803,36,28,52,59
55,2,0.3676689863204956,52,28,59,43
56,3,0.15742802619934082,35,35,42,53
57,1,0.1967710256576538,28,59,43,35
58,1,0.1406019926071167,35,59,36,35
59,3,0.13734793663024902,43,35,28,59
60,0,0.13154900074005127,59,36,28,14
61,0,0.30813801288604736,59,35,43,35
62,3,0.2038029432296753,36,28,28,59
63,2,0.27442800998687744,35,28,59,43
64,2,0.20142602920532227,35,35,59,36
65,1,0.14937102794647217,28,59,43,35
66,0,0.38878798484802246,53,35,42,35
67,1,0.15890908241271973,28,59,43,35
68,0,0.13026893138885498,59,36,35,35
69,0,0.3185539245605469,59,43,28,35
70,0,0.13157391548156738,53,35,28,42
71,0,0.1516709327697754,59,43,28,35
72,2,0.20638108253479004,52,28,59,36
73,1,0.11046600341796875,29,59,28,21
74,0,0.1306910514831543,59,29,35,28
75,0,0.21991097927093506,53,35,35,42
76,0,0.2502490282058716,59,36,35,35
77,0,0.137597918510437,59,21,36,35
78,1,0.15298795700073242,28,59,36,35
79,0,0.1541759967803955,53,35,35,42
80,0,0.16369891166687012,59,43,35,28
81,1,0.13939905166625977,35,59,43,35
82,3,0.29621195793151855,39,39,49,57
83,0,0.2578009366989136,59,43,28,35
84,0,0.3087170124053955,59,43,35,28
85,2,0.12079405784606934,21,42,53,35
86,3,0.12973296642303467,35,21,42,53
87,0,0.13579094409942627,59,29,35,52
88,2,0.22462809085845947,35,43,52,52
89,0,0.12695205211639404,59,36,28,28
90,0,0.1497129201889038,52,28,42,43
91,0,0.1428849697113037,53,35,21,42
92,1,0.13686895370483398,35,59,36,21
93,2,0.13677406311035156,28,35,59,43
94,1,0.1025400161743164,35,53,28,14
95,1,0.1242440938949585,28,59,36,28
96,1,0.1105799674987793,28,59,36,21
97,2,0.19669997692108154,35,28,59,43
98,0,0.1471959352493286,52,36,42,35
99,2,0.11466896533966064,28,35,53,35
100,0,0.13913297653198242,59,43,35,28
101,1,0.28049802780151367,52,59,36,35
102,3,0.3022890090942383,35,35,42,53
103,1,0.22248804569244385,42,53,35,35
104,1,0.15844404697418213,28,59,43,35
105,1,0.24190104007720947,35,59,36,35
106,2,0.1835010051727295,28,35,59,43
107,3,0.20310306549072266,43,28,35,59
108,0,0.11928105354309082,53,21,21,35
109,2,0.21896600723266602,42,40,52,52
110,1,0.1334090232849121,42,53,35,28
111,1,0.11590206623077393,28,59,29,28
112,3,0.20653998851776123,42,39,46,57
113,3,0.25124895572662354,28,36,28,59
114,2,0.19906890392303467,39,49,57,39
115,0,0.15552711486816406,59,36,28,28
