# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.big, MCTS_TicketToRide.PlayerType.big]
GAME,PLAYERS,WINNER,TIME
0,bb,0,0.02809596061706543
1,bb,1,0.047714948654174805
2,bb,0,0.02261495590209961
3,bb,0,0.0451200008392334
4,bb,1,0.025413036346435547
5,bb,1,0.020786046981811523
6,bb,0,0.019230008125305176
7,bb,1,0.024067044258117676
8,bb,0,0.06003391742706299
9,bb,0,0.03732407093048096
10,bb,1,0.024559974670410156
11,bb,1,0.013640999794006348
12,bb,1,0.02619194984436035
13,bb,1,0.026440978050231934
14,bb,1,0.025970101356506348
15,bb,0,0.026822924613952637
16,bb,1,0.02696704864501953
17,bb,1,0.02619004249572754
18,bb,1,0.02396392822265625
19,bb,1,0.027312040328979492
20,bb,1,0.02340996265411377
21,bb,1,0.023983001708984375
22,bb,0,0.022402048110961914
23,bb,0,0.0412369966506958
24,bb,1,0.022792935371398926
25,bb,1,0.02481400966644287
26,bb,1,0.022210001945495605
27,bb,0,0.02444899082183838
28,bb,1,0.02693498134613037
29,bb,1,0.023229002952575684
30,bb,0,0.022984027862548828
31,bb,0,0.026257991790771484
32,bb,1,0.02726900577545166
33,bb,1,0.01804506778717041
34,bb,1,0.024999022483825684
35,bb,1,0.024718046188354492
36,bb,0,0.02930605411529541
37,bb,0,0.02220892906188965
38,bb,0,0.02499699592590332
39,bb,1,0.02585899829864502
40,bb,0,0.03386497497558594
41,bb,0,0.025742053985595703
42,bb,1,0.02836894989013672
43,bb,0,0.024435043334960938
44,bb,1,0.019816994667053223
45,bb,0,0.034078001976013184
46,bb,0,0.03014504909515381
47,bb,1,0.026339054107666016
48,bb,0,0.01934492588043213
49,bb,0,0.02273094654083252
50,bb,1,0.02698493003845215
51,bb,1,0.025079965591430664
52,bb,0,0.02147698402404785
53,bb,1,0.044708967208862305
54,bb,1,0.025818943977355957
55,bb,0,0.04875993728637695
56,bb,1,0.026106953620910645
57,bb,1,0.023040056228637695
58,bb,0,0.023310065269470215
59,bb,0,0.023021936416625977
60,bb,0,0.024986982345581055
61,bb,1,0.024498939514160156
62,bb,0,0.024676918983459473
63,bb,0,0.02606797218322754
64,bb,1,0.02687203884124756
65,bb,0,0.028202056884765625
66,bb,1,0.02615499496459961
67,bb,0,0.02324497699737549
68,bb,1,0.024993062019348145
69,bb,0,0.021902084350585938
70,bb,0,0.024566054344177246
71,bb,0,0.025425076484680176
72,bb,0,0.025820016860961914
73,bb,1,0.04486799240112305
74,bb,0,0.023894071578979492
75,bb,0,0.022117018699645996
76,bb,1,0.02585899829864502
77,bb,0,0.02359306812286377
78,bb,1,0.024713993072509766
79,bb,1,0.025970935821533203
80,bb,0,0.02807605266571045
81,bb,0,0.02958810329437256
82,bb,0,0.02533900737762451
83,bb,1,0.021893024444580078
84,bb,0,0.02668297290802002
85,bb,1,0.024366021156311035
86,bb,1,0.022748112678527832
87,bb,1,0.05421304702758789
88,bb,0,0.025581002235412598
89,bb,1,0.03888905048370361
