GAME,WINNER,TIME,random,random
0,0,0.13259398937225342,38,18
1,1,0.12101399898529053,22,38
2,1,0.12479603290557861,22,37
3,0,0.13352394104003906,39,20
4,0,0.13725197315216064,38,22
5,1,0.14207804203033447,21,39
6,0,0.10494697093963623,35,21
7,0,0.17637991905212402,37,19
8,1,0.14283502101898193,27,37
9,0,0.14373600482940674,37,27
10,1,0.12137305736541748,24,36
11,1,0.10437798500061035,19,37
12,1,0.13378703594207764,23,37
13,0,0.135841965675354,38,26
14,1,0.12111592292785645,20,39
15,1,0.12066197395324707,24,36
16,0,0.12172400951385498,35,35
17,0,0.1261739730834961,36,16
18,0,0.12489497661590576,37,23
19,1,0.15046703815460205,23,36
20,0,0.12398302555084229,39,21
21,1,0.10764205455780029,24,36
22,0,0.13961100578308105,41,26
23,0,0.1264129877090454,37,23
24,0,0.12655997276306152,38,21
25,0,0.11839699745178223,36,20
26,0,0.14153003692626953,36,24
27,1,0.12963402271270752,23,37
28,0,0.11245501041412354,35,17
29,0,0.13035404682159424,36,22
30,0,0.11958205699920654,36,24
31,0,0.15912199020385742,38,22
32,1,0.14038896560668945,24,36
33,1,0.13933897018432617,22,38
34,0,0.11481893062591553,40,21
35,0,0.13093197345733643,35,21
36,0,0.12127804756164551,35,21
37,1,0.11959004402160645,23,36
38,1,0.11840808391571045,21,35
39,1,0.13658010959625244,24,38
40,0,0.1381930112838745,35,35
41,0,0.1097259521484375,36,16
42,1,0.12050008773803711,20,36
43,1,0.11685001850128174,19,35
44,1,0.13276898860931396,27,36
45,1,0.13974404335021973,21,35
46,1,0.1188499927520752,23,37
47,0,0.16655302047729492,37,27
48,0,0.1483370065689087,38,22
49,0,0.17099201679229736,37,23
50,1,0.1236729621887207,34,36
51,0,0.16529297828674316,36,24
52,0,0.12904798984527588,39,24
53,1,0.12240803241729736,21,35
54,0,0.12583303451538086,36,20
55,1,0.12654602527618408,21,35
56,1,0.12248098850250244,20,36
57,1,0.16364192962646484,21,35
58,1,0.14040899276733398,22,38
59,1,0.14605498313903809,23,37
60,0,0.1431419849395752,37,23
61,1,0.12458503246307373,22,36
62,1,0.12862896919250488,22,36
63,0,0.13554394245147705,36,24
64,1,0.13407599925994873,22,38
65,0,0.15213608741760254,38,26
66,1,0.10680806636810303,22,34
67,1,0.1211400032043457,21,35
68,1,0.11827600002288818,20,39
69,1,0.13110601902008057,21,39
70,0,0.14658403396606445,36,24
71,1,0.11941003799438477,23,36
72,0,0.13641297817230225,38,22
73,0,0.12584102153778076,36,24
74,1,0.11975693702697754,21,35
75,0,0.13607001304626465,36,34
