GAME,WINNER,TIME,random,random,random
0,2,0.19870400428771973,26,21,36
1,2,0.20019090175628662,26,22,39
2,0,0.18919694423675537,41,26,19
3,1,0.20889604091644287,25,41,24
4,2,0.2099989652633667,18,24,40
5,1,0.1839970350265503,23,40,26
6,2,0.20813298225402832,24,21,38
7,1,0.29125094413757324,26,43,24
8,1,0.19062209129333496,23,38,25
9,2,0.20357000827789307,25,26,38
10,1,0.20298099517822266,22,38,26
11,1,0.20786702632904053,24,38,18
12,1,0.25829601287841797,26,43,20
13,1,0.18604600429534912,25,38,26
14,2,0.2327589988708496,27,41,43
15,0,0.18899500370025635,38,15,25
16,1,0.2398620843887329,28,40,22
17,2,0.24162089824676514,28,22,40
18,0,0.15922188758850098,39,25,17
19,2,0.18616998195648193,24,24,38
20,2,0.20238304138183594,25,24,41
21,2,0.20441901683807373,23,28,42
22,0,0.2006549835205078,39,27,20
23,0,0.22081494331359863,37,28,22
24,2,0.22516095638275146,22,21,37
25,1,0.18827903270721436,23,36,27
26,2,0.19123899936676025,27,25,40
27,0,0.19874095916748047,43,24,19
28,2,0.21756303310394287,24,25,44
29,1,0.22997808456420898,22,39,25
30,1,0.24840807914733887,43,44,26
31,1,0.18319201469421387,26,36,20
32,0,0.21307706832885742,42,23,28
33,0,0.19402098655700684,37,26,29
34,0,0.25288498401641846,41,29,34
35,1,0.19912302494049072,22,38,23
36,1,0.20087707042694092,24,36,24
37,1,0.19161999225616455,24,41,17
38,0,0.19352006912231445,38,25,29
39,1,0.20191597938537598,18,44,24
40,0,0.24045801162719727,41,26,19
41,1,0.16460096836090088,25,40,20
42,0,0.21155297756195068,39,28,24
43,2,0.18114304542541504,27,19,37
44,0,0.20843803882598877,39,25,21
45,2,0.21879792213439941,29,21,40
46,0,0.2226560115814209,40,28,28
47,1,0.20818603038787842,28,40,17
48,1,0.2209010124206543,29,39,24
49,1,0.21938300132751465,32,42,27
50,0,0.19718396663665771,41,27,25
51,1,0.20670807361602783,26,41,26
52,2,0.23554694652557373,23,21,39
53,1,0.26046299934387207,25,40,25
54,0,0.2225949764251709,39,29,39
55,2,0.22117400169372559,30,26,41
56,1,0.23907291889190674,25,43,18
57,2,0.26096904277801514,36,27,40
58,0,0.21588706970214844,41,26,24
59,2,0.20590102672576904,22,25,39
60,0,0.20058000087738037,42,22,29
61,1,0.20627689361572266,25,36,28
62,1,0.1897439956665039,24,39,28
63,1,0.2155979871749878,23,41,22
64,0,0.19307398796081543,38,23,25
65,1,0.19687390327453613,24,37,23
66,0,0.23050999641418457,45,27,31
67,0,0.17988896369934082,38,18,26
68,0,0.23037803173065186,42,27,24
69,2,0.20782792568206787,21,27,39
70,2,0.2257629632949829,29,31,43
71,1,0.197456955909729,24,39,24
72,1,0.18226897716522217,25,41,23
73,1,0.19902193546295166,22,37,23
74,0,0.19287097454071045,38,24,24
75,0,0.21284592151641846,41,25,21
76,0,0.24110102653503418,40,22,24
77,2,0.22016406059265137,25,22,40
78,2,0.1900019645690918,27,20,36
79,1,0.19255197048187256,28,37,24
80,0,0.19819796085357666,39,27,37
81,0,0.18389403820037842,45,27,23
82,0,0.20862901210784912,38,25,27
83,0,0.16299200057983398,39,21,19
84,0,0.22605693340301514,41,26,26
85,1,0.2158290147781372,24,41,28
86,1,0.23589098453521729,24,36,26
87,0,0.17547905445098877,40,21,28
88,0,0.18726301193237305,37,20,21
89,2,0.24114704132080078,23,23,40
90,1,0.21588408946990967,27,39,23
91,2,0.1947849988937378,27,25,41
92,1,0.23063206672668457,31,41,26
93,0,0.21658897399902344,36,24,24
94,2,0.23312592506408691,24,30,39
95,0,0.1951390504837036,37,23,19
96,0,0.23322594165802002,39,20,24
97,0,0.22164595127105713,44,25,27
98,1,0.2052990198135376,26,37,26
99,2,0.21947598457336426,23,27,36
100,1,0.24297702312469482,25,41,41
101,0,0.19141697883605957,37,20,19
102,2,0.25636792182922363,26,25,43
103,2,0.28180599212646484,26,25,40
104,0,0.2562800645828247,44,33,30
105,1,0.2181990146636963,25,40,38
106,1,0.24805998802185059,23,38,26
107,0,0.19136393070220947,41,25,27
108,2,0.1884160041809082,21,22,40
109,2,0.18729400634765625,24,23,39
110,0,0.20040297508239746,41,29,19
111,0,0.16778898239135742,38,22,22
112,1,0.1835240125656128,26,37,24
113,0,0.22719907760620117,41,26,24
114,1,0.22410905361175537,26,43,34
115,0,0.18801498413085938,38,18,24
116,0,0.20814096927642822,38,22,23
117,0,0.22809302806854248,41,30,25
118,1,0.2019580602645874,24,38,21
119,0,0.22117102146148682,41,41,22
120,1,0.198388934135437,26,42,24
121,1,0.18807601928710938,24,39,29
122,1,0.2409299612045288,29,45,23
123,1,0.19905388355255127,24,42,26
124,1,0.2150670289993286,29,41,20
125,1,0.2077789306640625,23,38,22
126,1,0.20469701290130615,27,40,22
127,0,0.22050702571868896,37,26,24
128,0,0.2085789442062378,38,26,24
129,2,0.23883497714996338,23,24,36
130,1,0.20388507843017578,24,40,39
131,2,0.19932496547698975,28,25,37
132,0,0.25905799865722656,38,28,28
133,0,0.2222689390182495,44,31,24
134,2,0.22289705276489258,20,28,41
135,2,0.1988459825515747,20,22,38
136,2,0.2943270206451416,26,23,41
137,0,0.19482505321502686,36,24,23
138,0,0.206170916557312,37,26,23
139,0,0.20462000370025635,39,25,26
140,0,0.22481989860534668,40,29,27
141,2,0.21812093257904053,24,21,39
