# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random
0,0,0.3696749210357666,42,28,27,30
1,1,0.3103419542312622,19,41,25,23
2,3,0.3487910032272339,27,24,28,41
3,0,0.36020898818969727,43,41,26,27
4,2,0.326632022857666,19,22,39,22
5,0,0.3528940677642822,42,20,28,29
6,1,0.3731290102005005,25,42,31,28
7,0,0.3461430072784424,41,22,28,22
8,3,0.30508601665496826,25,24,20,42
9,1,0.28809797763824463,16,43,20,25
10,1,0.3459590673446655,23,39,27,24
11,0,0.309938907623291,39,23,22,21
12,2,0.3706080913543701,27,31,43,29
13,3,0.33592891693115234,27,30,22,41
14,3,0.322052001953125,27,19,21,41
15,0,0.34025704860687256,41,25,25,22
16,1,0.2877548933029175,22,42,19,18
17,1,0.30679094791412354,22,40,24,24
18,2,0.30751895904541016,23,21,41,20
19,0,0.3350640535354614,38,27,28,27
20,0,0.2774409055709839,39,24,21,18
21,0,0.33451592922210693,44,26,29,26
22,2,0.3133920431137085,19,25,40,22
23,2,0.3131680488586426,21,25,41,18
24,2,0.31198203563690186,23,26,41,23
25,0,0.3071810007095337,39,18,16,22
26,1,0.2809089422225952,18,39,22,25
27,0,0.30059897899627686,39,20,20,20
28,2,0.3290170431137085,27,19,43,25
29,2,0.34874510765075684,23,26,45,22
30,2,0.34561800956726074,26,27,45,18
31,1,0.3221210241317749,29,43,22,22
32,2,0.374222993850708,25,31,41,30
33,3,0.3804589509963989,27,31,29,46
34,1,0.3835650682449341,28,43,24,25
35,1,0.3350260257720947,21,45,23,22
36,0,0.3453700542449951,45,31,25,25
37,2,0.403393030166626,25,29,44,32
38,2,0.33094000816345215,21,23,40,25
39,3,0.35038697719573975,28,25,27,43
40,1,0.35483407974243164,28,39,24,22
41,0,0.35844898223876953,38,26,22,27
42,3,0.2826850414276123,16,22,18,39
43,0,0.29411590099334717,41,24,28,21
44,2,0.3261580467224121,24,25,42,18
45,2,0.36061596870422363,23,27,42,28
46,0,0.30015599727630615,38,18,28,28
47,1,0.28544390201568604,20,38,17,13
48,1,0.34591495990753174,28,43,25,26
49,2,0.3432990312576294,23,26,40,20
50,1,0.3617950677871704,21,42,25,31
51,2,0.35877108573913574,26,30,40,20
52,3,0.3087199926376343,22,20,27,40
53,2,0.3532780408859253,27,26,43,27
54,0,0.30839693546295166,43,26,22,22
55,1,0.31974899768829346,24,40,21,24
56,2,0.27293694019317627,18,17,39,17
57,1,0.31428098678588867,28,43,26,25
58,2,0.347256064414978,28,27,44,19
59,3,0.4346059560775757,27,26,28,43
60,3,0.39029788970947266,32,21,23,44
61,2,0.36312007904052734,25,27,40,25
62,0,0.28524303436279297,41,25,22,23
63,0,0.2933160066604614,40,29,25,26
64,2,0.3450049161911011,32,30,42,27
65,0,0.33758997917175293,42,22,23,42
66,1,0.3471200466156006,40,42,22,22
67,2,0.2822149991989136,21,30,44,16
68,2,0.35070502758026123,22,30,44,20
69,3,0.2983330488204956,22,22,28,40
70,1,0.3626500368118286,27,40,22,24
71,0,0.3103630542755127,39,28,26,23
72,0,0.3532670736312866,44,23,27,25
73,1,0.3289670944213867,23,42,23,22
74,3,0.29117703437805176,19,25,22,39
75,3,0.28646302223205566,16,24,26,39
76,1,0.3395540714263916,25,45,21,25
77,1,0.31802403926849365,27,41,25,26
78,1,0.3966790437698364,25,42,27,23
79,0,0.35807693004608154,44,20,25,27
80,3,0.35157907009124756,28,26,30,40
81,2,0.33431100845336914,30,23,44,32
82,1,0.3304290771484375,21,42,18,25
83,3,0.3284870386123657,20,27,22,43
84,3,0.35179197788238525,23,28,25,37
85,0,0.33091700077056885,39,24,22,28
86,2,0.3160378932952881,22,26,42,25
87,1,0.33948004245758057,24,41,26,22
88,2,0.2793189287185669,26,25,42,22
89,0,0.31021106243133545,40,26,26,28
90,3,0.387814998626709,22,25,29,44
91,0,0.327085018157959,39,17,25,25
92,0,0.33640503883361816,41,19,21,23
93,2,0.3775290250778198,26,29,42,23
94,1,0.32178592681884766,25,41,25,22
95,3,0.34018993377685547,27,31,26,43
96,0,0.32781994342803955,39,26,21,20
97,1,0.383544921875,25,45,29,20
98,3,0.3366820812225342,24,21,39,42
99,2,0.31473302841186523,16,27,42,24
100,2,0.374891996383667,23,20,38,22
101,2,0.37501704692840576,31,31,43,28
102,1,0.2865639925003052,22,43,22,25
103,1,0.2680540084838867,22,41,13,19
104,2,0.30689096450805664,27,23,39,26
105,2,0.36698007583618164,25,24,42,26
106,1,0.4085029363632202,28,41,27,27
107,1,0.3410069942474365,22,40,26,28
108,0,0.3248559236526489,42,28,21,21
109,1,0.2925679683685303,24,39,25,23
110,1,0.29075002670288086,22,40,26,22
111,2,0.38655996322631836,25,28,42,24
112,2,0.3021489381790161,15,19,39,22
113,3,0.361130952835083,30,20,24,42
114,2,0.35357701778411865,24,27,41,28
115,1,0.37852394580841064,26,44,24,29
116,2,0.2746189832687378,22,21,41,20
117,2,0.3606029748916626,25,29,37,25
118,2,0.35405004024505615,29,26,44,28
119,1,0.3444119691848755,25,40,17,24
120,3,0.390713095664978,31,24,35,47
121,1,0.33730900287628174,25,40,18,26
122,0,0.36240696907043457,41,27,26,22
123,1,0.3162649869918823,25,41,25,28
124,3,0.3962879180908203,26,29,28,41
125,1,0.3515000343322754,28,40,29,23
126,1,0.4382479190826416,27,37,25,17
127,0,0.36501407623291016,45,24,28,26
128,2,0.3577080965042114,21,21,40,24
129,2,0.32642102241516113,27,25,39,25
130,2,0.43609094619750977,23,26,44,31
131,3,0.3567270040512085,39,21,19,40
132,2,0.320809006690979,30,25,40,25
133,0,0.24889302253723145,37,18,17,15
134,2,0.33357107639312744,32,43,45,19
135,3,0.38703203201293945,21,18,22,41
136,3,0.369500994682312,25,25,24,39
137,0,0.3672219514846802,39,21,27,26
138,2,0.3460880517959595,23,22,40,25
139,3,0.28109002113342285,20,15,18,41
140,2,0.3015429973602295,28,25,39,23
141,0,0.3010629415512085,42,26,21,27
142,0,0.33720993995666504,40,22,28,26
143,3,0.36239004135131836,28,27,31,43
144,3,0.34566497802734375,22,20,25,45
145,0,0.3298419713973999,41,22,23,26
146,3,0.3539140224456787,31,24,22,39
147,3,0.3043609857559204,26,22,25,42
148,2,0.2889779806137085,25,19,40,21
149,3,0.370959997177124,30,26,29,39
150,1,0.2719320058822632,24,36,19,26
151,2,0.3637479543685913,21,26,43,20
152,3,0.387706995010376,23,22,22,42
153,3,0.3772989511489868,31,22,40,41
154,0,0.515984058380127,40,25,28,27
155,0,0.4000300168991089,42,21,20,23
156,3,0.453092098236084,25,24,25,42
157,1,0.34015798568725586,22,39,18,26
158,3,0.3622620105743408,26,29,24,41
159,0,0.28130197525024414,42,21,17,21
160,3,0.439532995223999,28,29,26,41
161,3,0.34619998931884766,22,20,19,41
162,2,0.35167503356933594,30,25,43,25
163,1,0.34562695026397705,25,41,27,37
164,1,0.340359091758728,26,38,25,26
165,1,0.4346109628677368,26,41,28,25
166,0,0.33778393268585205,43,25,22,22
167,1,0.36922693252563477,25,41,27,41
168,0,0.371798038482666,37,22,26,28
169,3,0.29050004482269287,26,19,22,38
170,2,0.27998101711273193,19,18,40,21
171,2,0.3419649600982666,28,23,40,21
172,3,0.3407859802246094,22,20,28,39
173,2,0.3248330354690552,28,26,41,27
174,3,0.3533569574356079,27,27,23,42
175,3,0.29513609409332275,24,25,25,39
176,1,0.335845947265625,21,42,21,21
177,1,0.36985599994659424,27,45,25,26
178,1,0.30216896533966064,21,42,29,23
179,1,0.3471590280532837,40,42,32,29
180,3,0.4571110010147095,33,32,29,43
181,0,0.28571999073028564,40,22,27,26
182,1,0.33046603202819824,24,40,28,28
183,3,0.302325963973999,27,13,15,39
184,1,0.4006139039993286,21,41,24,40
185,0,0.3646390438079834,40,24,21,20
186,0,0.4802849292755127,44,26,29,24
187,3,0.3019160032272339,23,18,20,40
188,2,0.34998202323913574,26,26,43,30
189,0,0.28081488609313965,39,20,10,22
190,0,0.34872305393218994,42,27,23,20
191,3,0.420138955116272,25,30,26,39
192,0,0.38133394718170166,42,24,29,28
193,2,0.3531489372253418,28,28,42,22
194,2,0.4097929000854492,23,23,39,28
195,2,0.3525879383087158,27,21,42,21
196,2,0.38597702980041504,27,27,40,23
197,2,0.37029194831848145,19,26,42,28
198,1,0.35370004177093506,24,41,17,24
199,2,0.4688289165496826,28,28,44,27
200,0,0.4035710096359253,45,22,33,23
201,0,0.31740903854370117,37,16,29,23
202,3,0.458825945854187,20,22,24,40
203,0,0.34925901889801025,45,28,34,27
204,0,0.29343199729919434,39,17,19,23
205,2,0.3861579895019531,27,27,40,26
206,2,0.34142398834228516,27,25,40,23
207,3,0.3551579713821411,30,27,19,40
208,2,0.41938698291778564,18,22,40,22
209,2,0.4877830743789673,27,22,41,26
210,2,0.32506299018859863,23,16,39,19
211,3,0.48231804370880127,23,28,27,39
212,1,0.4059300422668457,31,39,20,39
213,1,0.3374589681625366,21,41,28,19
214,0,0.5066220760345459,43,28,27,26
215,1,0.36538398265838623,28,42,26,30
216,1,0.40346598625183105,23,43,27,27
217,1,0.3299579620361328,25,42,27,22
218,2,0.3571509122848511,19,27,40,27
219,3,0.4122809171676636,29,43,29,45
220,1,0.34890997409820557,24,44,28,20
221,3,0.3279060125350952,22,25,27,41
222,2,0.37103796005249023,25,23,45,40
223,1,0.4223480224609375,23,41,19,23
224,1,0.39243602752685547,21,39,24,25
225,2,0.3600330352783203,27,26,40,24
226,3,0.36451709270477295,23,26,25,45
227,0,0.31480395793914795,37,18,28,23
228,0,0.4058389663696289,41,27,24,28
229,2,0.34222710132598877,27,23,42,20
230,0,0.40795695781707764,44,28,26,26
231,0,0.31024599075317383,39,24,14,21
232,0,0.47836196422576904,39,29,23,22
233,3,0.361814022064209,21,26,19,42
234,3,0.49177098274230957,27,25,24,47
235,0,0.2994809150695801,39,16,22,22
236,2,0.3612290620803833,22,27,42,25
237,0,0.3956819772720337,43,26,23,21
238,2,0.3391050100326538,23,25,42,21
239,0,0.3807079792022705,41,27,27,22
240,1,0.43157804012298584,28,39,25,27
241,3,0.3663259744644165,29,29,27,42
242,2,0.4223819971084595,29,21,44,25
243,1,0.42337000370025635,27,40,25,27
244,2,0.41081202030181885,26,19,45,23
245,3,0.45832908153533936,30,22,26,48
246,0,0.4966139793395996,41,32,26,32
247,1,0.4333209991455078,31,41,26,25
248,0,0.4390310049057007,43,22,22,18
249,1,0.4482400417327881,24,41,31,27
250,0,0.29120898246765137,42,16,23,27
251,0,0.5124959945678711,42,26,25,23
252,2,0.3870069980621338,28,21,40,27
253,3,0.4197009801864624,28,25,30,44
254,3,0.4518829584121704,25,28,28,41
255,1,0.4858360290527344,28,42,38,22
256,1,0.4259229898452759,26,42,27,24
257,1,0.4639400243759155,23,41,29,31
258,2,0.43166792392730713,26,24,39,26
259,0,0.3846210241317749,42,24,25,22
260,0,0.3871190547943115,46,28,24,32
