# MCTS: [] []
# PLAYERS: [MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random, MCTS_TicketToRide.PlayerType.random]
GAME,WINNER,TIME,random,random,random,random,random
0,0,0.6038709878921509,43,18,22,20,28
1,1,0.5032309293746948,25,43,21,20,21
2,0,0.5537080764770508,43,21,23,30,17
3,1,0.6598060131072998,34,45,28,32,27
4,3,0.5715810060501099,29,31,32,44,29
5,1,0.6274720430374146,26,47,27,47,22
6,1,0.4628640413284302,27,47,28,22,21
7,3,0.5128359794616699,27,24,27,39,21
8,1,0.6699490547180176,21,47,28,28,35
9,0,0.5792919397354126,47,29,18,28,23
10,0,0.49897897243499756,43,25,21,26,19
11,2,0.567284107208252,27,28,42,25,30
12,1,0.5277560949325562,23,43,22,24,28
13,0,0.59340500831604,45,25,27,20,28
14,0,0.5990849733352661,44,27,27,32,28
15,1,0.5764929056167603,29,40,24,25,27
16,2,0.5521759986877441,23,31,44,29,27
17,0,0.5207799673080444,41,21,20,28,24
18,4,0.5781480073928833,26,26,33,21,42
19,2,0.5228960514068604,23,23,40,20,21
20,1,0.5389069318771362,16,45,29,26,31
21,4,0.4762260913848877,25,21,27,25,43
22,4,0.5790081024169922,30,41,22,23,42
23,0,0.465878963470459,42,24,26,21,18
24,0,0.5259089469909668,40,28,18,27,28
25,3,0.5717240571975708,27,19,25,42,25
26,1,0.5401209592819214,41,43,28,28,28
27,0,0.40199100971221924,39,27,23,20,28
28,2,0.524151086807251,33,22,42,28,27
29,4,0.5585640668869019,14,23,26,28,42
30,3,0.5196410417556763,22,22,22,42,23
31,3,0.5771839618682861,25,27,23,45,28
32,0,0.6160380840301514,45,27,16,18,18
33,0,0.5780249834060669,42,24,22,25,25
34,1,0.6013360023498535,25,44,24,27,42
35,1,0.6323060989379883,28,42,28,31,23
36,3,0.5865139961242676,25,21,28,39,25
37,3,0.5834969282150269,28,21,24,42,23
38,3,0.6564539670944214,30,28,18,42,30
39,3,0.667389988899231,27,30,21,43,24
40,2,0.6417750120162964,28,21,46,22,24
41,3,0.6239409446716309,24,20,18,39,30
42,0,0.560236930847168,40,27,21,16,25
43,0,0.5700210332870483,42,22,25,27,25
44,4,0.6571940183639526,24,27,28,42,44
45,4,0.6186339855194092,24,28,24,21,41
46,3,0.5555399656295776,21,24,31,43,25
47,4,0.5481630563735962,41,42,25,27,44
48,2,0.47893500328063965,23,23,43,19,23
49,2,0.49368202686309814,33,28,45,30,23
50,0,0.5152089595794678,45,23,29,30,35
51,0,0.45305299758911133,42,25,41,23,27
52,0,0.47350597381591797,40,26,22,30,27
53,2,0.3908710479736328,18,27,41,23,14
54,0,0.6010390520095825,41,28,31,27,24
55,0,0.49690699577331543,42,22,19,21,23
56,1,0.5471789836883545,27,39,27,24,24
57,3,0.7017760276794434,30,29,31,48,45
58,4,0.5902550220489502,27,22,24,33,45
59,1,0.49531102180480957,29,41,17,18,26
60,4,0.46358001232147217,23,15,23,14,41
61,0,0.6253019571304321,41,28,27,25,24
62,1,0.5648399591445923,26,40,24,24,27
63,4,0.6275039911270142,31,26,23,23,42
64,0,0.6060099601745605,43,31,28,21,21
65,3,0.6189160346984863,28,25,30,41,28
66,0,0.5721570253372192,42,24,25,41,19
67,1,0.6229479312896729,27,49,24,27,25
68,4,0.6835939884185791,27,29,24,30,42
69,1,0.608491063117981,22,42,27,23,23
70,2,0.6886841058731079,30,28,45,22,27
71,2,0.628364086151123,25,28,47,25,30
72,1,0.44641101360321045,24,42,27,30,28
73,0,0.4967939853668213,43,28,18,17,25
74,4,0.6467750072479248,24,24,27,27,43
75,1,0.6499741077423096,28,45,27,25,27
76,0,0.6521400213241577,45,23,27,30,19
77,1,0.5362980365753174,20,39,20,25,20
78,1,0.5425240993499756,27,42,23,31,21
79,1,0.5462629795074463,26,41,27,28,33
80,1,0.6389589309692383,27,39,27,27,25
81,0,0.5606130361557007,46,45,25,25,27
82,2,0.5673359632492065,22,32,42,22,26
83,3,0.5496540069580078,30,24,29,42,27
84,2,0.5791980028152466,41,30,43,28,27
85,2,0.46272599697113037,17,24,43,19,21
86,2,0.583441972732544,20,45,47,29,35
87,2,0.5490660667419434,23,28,42,25,30
88,1,0.6696571111679077,35,47,26,26,32
89,0,0.6104050874710083,44,31,27,26,31
90,3,0.603011965751648,18,27,28,45,27
91,1,0.5220450162887573,27,40,18,24,22
92,3,0.5378890037536621,29,21,25,40,16
93,1,0.5577219724655151,24,43,20,26,28
94,4,0.5271029472351074,26,20,25,23,39
95,3,0.6998770236968994,35,28,19,47,30
96,0,0.4763890504837036,40,27,15,28,21
97,4,0.6652220487594604,29,25,22,30,42
98,2,0.6641010046005249,31,25,44,33,25
99,4,0.5773739814758301,21,23,26,21,40
100,0,0.7003680467605591,46,31,24,26,28
101,1,0.5988689661026001,26,41,21,22,28
102,4,0.5745340585708618,28,26,24,21,42
103,1,0.6874150037765503,28,41,27,41,25
104,4,0.5265939235687256,31,28,28,30,45
105,0,0.5695199966430664,44,34,25,26,23
106,1,0.6272850036621094,28,45,26,27,26
107,0,0.5940840244293213,47,33,30,33,26
108,3,0.5227429866790771,29,27,25,44,44
109,2,0.48554301261901855,28,25,41,26,28
110,1,0.5670089721679688,34,47,21,25,25
111,3,0.45095300674438477,24,21,15,42,17
112,2,0.6913160085678101,42,25,44,26,28
113,2,0.5434619188308716,30,28,39,30,28
114,0,0.5036580562591553,41,13,24,23,26
115,0,0.45118391513824463,47,25,26,28,24
116,1,0.5487810373306274,28,40,24,26,27
117,1,0.45671796798706055,28,43,25,20,21
118,0,0.5496209859848022,39,21,28,32,25
119,2,0.5958579778671265,27,26,44,30,25
120,0,0.5106509923934937,43,26,21,17,26
121,3,0.5786890983581543,20,26,28,48,18
122,0,0.49277400970458984,39,22,16,18,24
123,0,0.646807074546814,41,25,21,31,20
124,0,0.4802570343017578,42,24,23,29,23
125,2,0.411221981048584,26,21,39,24,24
126,4,0.6322380304336548,31,33,24,31,47
127,3,0.5767849683761597,21,21,25,44,23
128,1,0.5672279596328735,30,45,29,32,26
129,1,0.4962320327758789,24,39,22,23,30
130,2,0.6655510663986206,29,29,41,26,29
131,2,0.6588499546051025,30,29,47,28,32
132,3,0.6283890008926392,28,30,29,42,30
